# nodes  WC   ts     si    MP    AWC      GS   HE
#####         GMG                           #####
384   3343   3254   1878   935  3521    539   504
864   2295   1996   1255   520  2370    744   417
1536  1564   1056    650   225  1651    512   155
3456  1744    636    460   114  1836    622    97
#############  KR2                         ######
384   7788   7623   6059  4110  7866   3036   362
864   4563   4335   3529  2209  4637   2657   153
1536  3273   2895   2383  1476  3378   2152   105
3456  3493   2615   2282  1336  3560   2663    85
###########      KR6                    #########
384  15890  15715  13984 10506 15983   6093   645
864   6562   6325   5614  4354  6642   2883   259
1536  7878   7437   6670  4200  7976   5910   255
3456  5651   4856   4453  2896  5754   4390   143
#################################################
