# T time user MVD PGB MLU HE GS OMP
#1 0 0 0 0 0 0 0 0
1.1 864.588735 73.5 7.4 5.5 5.1 6.7 10.0 0.0
#1.2 0 0 0 0 0 0 0 0
#1.3 866.008684 73.2 7.3 5.5 5.1 7.2 9.0 0.0 
#2 0 0 0 0 0 0 0 0
2.1 851.316438 70.6 6.8 5.2 4.7 7.5 8.7 1.3
#2.2 0 0 0 0 0 0 0 0
#2.3 868.836661 69.2 6.6 5.1 4.6 8.1 9.3 2.3 
#3 0 0 0 0 0 0 0 0
3.1 869.760624 68.8 6.4 5.0 4.5 6.6 8.2 3.7 
#3.2 888.380811 67.6 6.3 5.0 4.4 7.0 8.9 4.0
#3.3 864.418435 69.3 6.5 5.1 4.5 6.3 8.3 3.7
#6 0 0 0 0 0 0 0 0 
6.1 939.451687 63.6 5.7 4.4 4.1 7.4 7.0 8.0
#6.2 940.779831 63.6 5.7 4.5 4.2 7.0 7.2 8.4
#6.3 965.631972 62.8 5.5 4.4 4.2 7.0 7.1 8.9

