||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||              1635.88||              1635.89||              1635.92||                    1||               100.00||              1635.89||
||           runtime_constants_alg||                19.43||                19.44||                19.45||                    1||                 1.19||                19.44||
||         geometric_constants_alg||                 1.64||                 1.64||                 1.65||                    1||                 0.10||                 1.64||
||               fem_constants_alg||                15.63||                15.63||                15.64||                    1||                 0.96||                15.63||
||       physical_op_constants_alg||                 1.78||                 1.79||                 1.81||                    1||                 0.11||                 1.79||
||         intermesh_constants_alg||                 0.33||                 0.33||                 0.33||                    1||                 0.02||                 0.33||
||                        set_wind||                47.41||                73.72||               121.27||                  481||                 4.51||                 0.15||
||          mass_matrix_solver_alg||                63.85||                76.98||               102.85||                 1086||                 4.71||                 0.07||
||         si_operators_alg:create||                 0.02||                 0.02||                 0.02||                    1||                 0.00||                 0.02||
||      semi_implicit_timestep_alg||              1343.15||              1344.20||              1344.95||                  120||                82.17||                11.20||
||              map_physics_fields||                 1.60||                 1.66||                 1.76||                  120||                 0.10||                 0.01||
||                    slow_physics||               306.35||               306.37||               307.10||                  120||                18.73||                 2.55||
||              fsd_condensate_alg||                 0.17||                 0.19||                 0.20||                  120||                 0.01||                 0.00||
||           locate_tropopause_alg||                 0.01||                 0.02||                 0.03||                  120||                 0.00||                 0.00||
||          locate_tropopause_xios||                17.71||                17.71||                17.72||                  120||                 1.08||                 0.15||
||              glomap_aerosol_alg||                 1.50||                 1.52||                 1.56||                  120||                 0.09||                 0.01||
||             glomap_aerosol_xios||                35.51||                35.54||                35.57||                  120||                 2.17||                 0.30||
||               strat_aerosol_alg||                 0.01||                 0.01||                 0.02||                  120||                 0.00||                 0.00||
||                       mphys_alg||                36.84||                75.50||                97.24||                  120||                 4.62||                 0.63||
||                      mphys_xios||                10.48||                11.23||                12.53||                  120||                 0.69||                 0.09||
||                  illuminate_alg||                 0.05||                 0.05||                 0.06||                  120||                 0.00||                 0.00||
||                 illuminate_xios||                 0.08||                 0.09||                 0.09||                  120||                 0.01||                 0.00||
||                    rad_tile_alg||                 2.17||                 2.97||                 3.50||                  120||                 0.18||                 0.02||
||                    sw_radiation||                 5.99||                 9.17||                12.37||                  120||                 0.56||                 0.08||
||                    lw_radiation||                 9.26||                13.98||                17.45||                  120||                 0.85||                 0.12||
||                  radiation_xios||                14.67||                14.68||                14.69||                  120||                 0.90||                 0.12||
||            pc2_rad_response_alg||                 0.26||                 0.28||                 0.32||                  120||                 0.02||                 0.00||
||                spectral_gwd_alg||                 1.46||                 2.02||                 3.13||                  120||                 0.12||                 0.02||
||               spectral_gwd_xios||                 6.79||                 6.81||                 6.83||                  120||                 0.42||                 0.06||
||             orographic_drag_alg||                 0.07||                 0.27||                 1.03||                  120||                 0.02||                 0.00||
||            orographic_drag_xios||                17.33||                17.37||                17.45||                  120||                 1.06||                 0.14||
||                      methox_alg||                 1.71||                 1.73||                 1.86||                  120||                 0.11||                 0.01||
||                      bl_exp_alg||                28.96||                29.83||                31.15||                  120||                 1.82||                 0.25||
||                 bl_exp_alg_xios||                13.93||                14.02||                15.11||                  120||                 0.86||                 0.12||
||                  pc2_checks_alg||                 0.19||                 0.20||                 0.21||                  120||                 0.01||                 0.00||
||                         rhs_alg||                23.18||                24.89||                27.30||                  832||                 1.52||                 0.03||
||               advection_control||               464.24||               464.90||               465.53||                  240||                28.42||                 1.94||
||                   advection_alg||               154.56||               154.79||               155.23||                  240||                 9.46||                 0.64||
||                        flux_alg||               162.52||               185.40||               191.09||                42570||                11.33||                 0.00||
||            advective_update_alg||               126.36||               137.68||               144.68||                19350||                 8.42||                 0.01||
||              momentum advection||                91.20||                91.85||                92.52||                  240||                 5.61||                 0.38||
||         conservative_mr_adv_alg||               175.57||               177.59||               178.19||                  774||                10.86||                 0.23||
||     advection_generic_field_alg||               126.80||               127.46||               127.94||                  240||                 7.79||                 0.53||
||            calc_phys_predictors||                28.74||                29.37||                29.99||                  240||                 1.80||                 0.12||
||                    fast_physics||               124.84||               125.18||               126.68||                  240||                 7.65||                 0.52||
||                     conv_gr_alg||                 5.86||                10.59||                21.76||                  240||                 0.65||                 0.04||
||           pc2_conv_coupling_alg||                 0.47||                 0.54||                 0.64||                  240||                 0.03||                 0.00||
||                      bl_imp_alg||                14.24||                15.45||                16.76||                  480||                 0.94||                 0.03||
||        si_operators_alg:compute||                37.92||                39.38||                40.13||                  120||                 2.41||                 0.33||
||        semi_implicit_solver_alg||               342.63||               344.39||               346.10||                  480||                21.05||                 0.72||
||  mixed_schur_preconditioner_alg||               133.62||               141.03||               143.66||                 7012||                 8.62||                 0.02||
||                   helmholtz lhs||                27.06||                41.25||                47.13||               105180||                 2.52||                 0.00||
||           schur back substitute||                36.51||                38.45||                41.14||                 7012||                 2.35||                 0.01||
||                  mixed_operator||                76.50||                79.33||                83.20||                 7012||                 4.85||                 0.01||
||                    conv_gr_xios||                45.40||                45.58||                45.76||                  120||                 2.79||                 0.38||
||                 bl_imp_alg_xios||                17.42||                17.85||                18.17||                  120||                 1.09||                 0.15||
||                 jules_extra_alg||                 0.10||                 0.91||                 2.77||                  120||                 0.06||                 0.01||
||                jules_extra_xios||                 4.92||                 4.98||                 5.03||                  120||                 0.30||                 0.04||
||                         cld_alg||                 1.38||                 1.75||                 3.67||                  120||                 0.11||                 0.01||
||        pc2_pressure_forcing_alg||                 0.28||                 0.30||                 0.34||                  120||                 0.02||                 0.00||
||              pc2_initiation_alg||                 1.01||                 1.36||                 3.33||                  120||                 0.08||                 0.01||
